MW,FaultType,Rrup,VS30,PGA
3.5,Ters,77.26,323.0,0.00020772283133281232
3.5,Ters,190.15,317.0,8.900136237058396e-05
3.5,Ters,99.67,429.01,0.0002298888935598238
3.5,Ters,101.31,480.79,5.93816584645461e-05
3.5,Ters,108.75,396.89,9.272899115476239e-05
3.6,Yanal,94.33,600.0,0.0003015844576993649
3.6,Yanal,33.37,635.15,0.0028807158708177034
3.6,Yanal,74.41,402.6,0.0007253588398164869
3.6,Yanal,65.78,429.01,0.0010328162781216223
3.6,Yanal,76.32,690.97,0.0007783647658838881
3.6,Yanal,35.63,723.35,0.0050024727908813136
3.6,Yanal,51.36,432.0,0.0004776116035854866
3.6,Yanal,18.08,613.05,0.002939417677970503
3.6,Yanal,12.56,490.24,0.009222520818696697
3.6,Yanal,38.78,391.84,0.0005927239375077744
3.6,Yanal,8.25,410.46,0.006122774786974097
3.6,Yanal,68.17,471.0,0.00022477299775640311
3.6,Yanal,22.61,480.79,0.0031938344363504254
3.6,Yanal,30.36,652.29,0.0011625476092877358
3.6,Yanal,27.79,422.0,0.0031058527216976917
3.6,Yanal,58.53,385.47,0.0016058743135800666
3.6,Yanal,43.56,719.52,0.0020952380672307003
3.6,Yanal,109.82,323.0,0.00026290062509339913
3.6,Yanal,97.83,433.15,0.00021730705085946936
3.6,Yanal,56.0,437.0,0.0014118033616574938
3.6,Yanal,116.08,760.0,3.7376548002323596e-05
3.6,Yanal,51.11,391.55,0.0003748709817405183
3.6,Yanal,90.13,477.0,0.000679330458317769
4.6,Yanal,402.0,356.0,3.8161368353349175e-05
4.6,Yanal,258.89,519.0,8.786009707273263e-05
4.6,Yanal,265.46,433.15,0.00012684317874225637
4.6,Yanal,256.85,477.0,0.0002452200337987498
4.6,Yanal,260.21,507.43,0.0002747190812139739
4.6,Yanal,351.02,485.0,7.112695611348767e-05
4.6,Yanal,292.34,432.0,8.162453602992179e-05
4.6,Yanal,246.25,555.0,2.0147253851579872e-05
4.2,Yanal,129.07,613.05,0.0002997072782987594
4.2,Yanal,20.81,646.0,0.0025885351967941637
4.2,Yanal,151.7,507.06,3.168756927803078e-05
4.2,Yanal,151.65,376.0,0.0005988136545881532
3.5,Yanal,43.97,403.94,0.00016033433268355222
